MultiLab,ReplicationProject,Replication,T_N,C_N,T_M,SE_T_M,C_M,SE_C_M,T_SD,SE_T_SD,C_SD,SE_C_SD,MD,SE_MD,pooled_SD,SE_pooled_SD,SMD,SE_SMD
RRR4,Sripada,BDEC_Results_Full_Birt.csv,31,28,0.3143707812580645,0.01232074690400287,0.29387036671428574,0.010512529989065272,0.0685990155355555,0.008856094824514344,0.055627080002350546,0.007569886771485384,0.020500414543778767,0.01637013561072732,0.06278937120529281,0.005829846759945645,0.32217688874811157,0.25897091170742986
RRR4,Sripada,BDEC_Results_Full_Brandt.csv,48,54,0.2868889145833333,0.011178680648133026,0.29187415,0.009816758772069138,0.07744817137661356,0.007988168944173136,0.07213814975868042,0.007006676499721738,-0.004985235416666678,0.014814674968162425,0.0746808995133581,0.005254529753584841,-0.06625170267362412,0.19693549591752235
RRR4,Sripada,BDEC_Results_Full_Brewer.csv,47,52,0.32272534597872343,0.012021893926944761,0.30689723798076923,0.010659877703783068,0.08241795240579222,0.00859266552683882,0.07686947130233036,0.007611211813991839,0.0158281079979542,0.016010377191585688,0.0795489711686052,0.005682069369186085,0.19743003946889126,0.20019583089885679
RRR4,Sripada,BDEC_Results_Full_Calvillo.csv,36,39,0.3538395002222222,0.013157021249735062,0.3241530951794872,0.008806509809764928,0.07894212749841037,0.009435388926782341,0.054996636134857835,0.0063085468196453325,0.02968640504273501,0.015611370575084303,0.06754511650648344,0.005552174375544125,0.4349712506096302,0.23148168221265764
RRR4,Sripada,BDEC_Results_Full_Carruth.csv,55,71,0.32352081483636363,0.011764426374447603,0.33222116936619717,0.00969645291683449,0.08724732107972663,0.008395377385242313,0.08170376454580018,0.006905228423321995,-0.008700354529833532,0.015118018365426568,0.08416278829613333,0.005322922104926863,-0.10274858397127881,0.17865655941257544
RRR4,Sripada,BDEC_Results_Full_Cheung.csv,89,92,0.31087054128089886,0.007931437265420024,0.30845432027173914,0.0074730387557284325,0.07482502951206313,0.005640148814063249,0.07167886967932015,0.005313191316883618,0.0024162210091597247,0.010889636530501713,0.07324247539952253,0.0038602173955223696,0.03285089204641944,0.1480653457540761
RRR4,Sripada,BDEC_Results_Full_Crowell.csv,34,39,0.3156769638235294,0.01112370107713559,0.2897697244102564,0.010307634194049984,0.06486176587341648,0.007983931468911236,0.06437115491006504,0.007383877871894092,0.025907239413272998,0.015157229448593575,0.06459964880126301,0.005383304066771917,0.396789186698708,0.23445567849522403
RRR4,Sripada,BDEC_Results_Full_Elson.csv,42,48,0.2987840120714286,0.010036307495857261,0.2959858035,0.010009991492508594,0.06504270645013803,0.007182765333327006,0.0693512553934284,0.007153035826750178,0.0027982085714285954,0.014236232767648672,0.06737815109134929,0.005050205938891737,0.041174784819135515,0.2095042984722525
RRR4,Sripada,BDEC_Results_Full_Evans.csv,40,49,0.325734844975,0.013191885596101193,0.3504874299795918,0.01220891730791033,0.08343281023209566,0.009446905491994614,0.08546242115537231,0.008722471833895858,-0.02475258500459182,0.018018758085741386,0.0845586200621702,0.006373845807646299,-0.2901949278951123,0.2123655673165139
RRR4,Sripada,BDEC_Results_Full_Hagger.csv,46,55,0.32112217210869565,0.011219885203548042,0.3217372693272727,0.010241824244510896,0.07609696382324743,0.008021324290163223,0.07595540146724139,0.007308811913919652,-6.150972185770542e-4,0.015188925032256375,0.07601978067216336,0.005375410241760075,-0.008029799782818085,0.19828495127329154
RRR4,Sripada,BDEC_Results_Full_Inz.csv,23,27,0.3013354877826087,0.016352272931669652,0.3166836447037037,0.017679658213252,0.0784227460035146,0.011822673796500064,0.09186619885741458,0.012739549633168448,-0.01534815692109498,0.024393032947196,0.08596597640943963,0.008683874981491077,-0.17573086144039118,0.27984373528280204
RRR4,Sripada,BDEC_Results_Full_LangeHeiseHoemann.csv,54,52,0.2809214247962963,0.00816562678029336,0.2959206807307692,0.009719420365525039,0.060004857125172645,0.005828186939844774,0.07008773699137895,0.006939720057480924,-0.014999255934472933,0.012657066985843598,0.06514464138123013,0.004495407339289565,-0.22858033475855105,0.19352448656107674
RRR4,Sripada,BDEC_Results_Full_Muller_Zerhouni.csv,32,46,0.34387799690625,0.011930145050917842,0.3812439291956522,0.011014522830512324,0.06748709172834509,0.008570869220373332,0.07470412844320154,0.007874506549942848,-0.037365932289402215,0.01653894020398774,0.0718479333786111,0.0057896714634250454,-0.5149176422165594,0.2316119137354565
RRR4,Sripada,BDEC_Results_Full_Otgaar.csv,25,44,0.27790512388,0.014243973909296267,0.3083676711136364,0.010996992316241957,0.07121986954648134,0.010279702713577758,0.07294579467079185,0.007865947332880084,-0.030462547233636394,0.01811592017973499,0.07233228681080742,0.0062024424240878125,-0.41641234329781224,0.2501624142238804
RRR4,Sripada,BDEC_Results_Full_Philipp_Cannon.csv,38,37,0.30875218260526316,0.012299232101010037,0.3116437564864865,0.012236042695695261,0.07581755858923181,0.008813612161319371,0.07442894202850435,0.008771534937482643,-0.0028915738812233527,0.01735345132069214,0.07513596879186624,0.0061761385897948695,-0.038087573243992215,0.22859938684639133
RRR4,Sripada,BDEC_Results_Full_Rentzsch.csv,51,52,0.28227434503921567,0.007836860423038047,0.29269953684615385,0.008809899969799438,0.055966377815606254,0.005596637781560625,0.06352909214564105,0.006290317449554523,-0.010425191806938183,0.011805712946822419,0.059904626780538456,0.004194162791095948,-0.17273378211867615,0.19597735574885838
